subject_id,task,admission number,date of entry,name,quality,age,place of birth,port sailed out of,years at sea,last services,under what circumstances admitted (or nature of complaint),date of discharge,how disposed of,number of days victualled,complete
44121907,26,9.0,6.0,4.0,3.0,7.0,4.0,,3.0,4.0,10.0,4.0,3.0,3.0,True
44121907,27,9.0,6.0,4.0,3.0,7.0,4.0,,3.0,4.0,10.0,3.0,3.0,3.0,True
44121907,28,9.0,6.0,4.0,3.0,7.0,4.0,,3.0,4.0,10.0,4.0,3.0,3.0,True
44121907,29,9.0,6.0,4.0,3.0,7.0,4.0,,3.0,4.0,9.0,4.0,3.0,3.0,True
44121908,1,12.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,11.0,5.0,3.0,3.0,True
44121908,2,12.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,11.0,5.0,3.0,3.0,True
44121908,3,12.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,11.0,5.0,3.0,3.0,True
44121908,4,12.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,11.0,5.0,3.0,3.0,True
44121908,5,12.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,11.0,5.0,3.0,3.0,True
44121908,7,12.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,11.0,5.0,3.0,3.0,True
44121908,8,12.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,11.0,5.0,3.0,3.0,True
44121908,9,12.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,11.0,5.0,3.0,3.0,True
44121908,10,12.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,11.0,5.0,3.0,3.0,True
44121908,11,12.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,11.0,5.0,3.0,3.0,True
44121908,13,12.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,11.0,5.0,3.0,3.0,True
44121908,14,12.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,11.0,5.0,3.0,3.0,True
44121908,15,12.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,11.0,5.0,3.0,3.0,True
44121908,16,12.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,11.0,5.0,3.0,3.0,True
44121908,17,12.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,11.0,5.0,3.0,3.0,True
44121908,19,12.0,4.0,3.0,3.0,4.0,4.0,,3.0,3.0,11.0,5.0,3.0,3.0,True
44121908,20,12.0,4.0,3.0,3.0,4.0,4.0,,3.0,3.0,11.0,5.0,3.0,3.0,True
44121908,21,12.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,11.0,5.0,3.0,3.0,True
44121908,22,12.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,11.0,5.0,3.0,3.0,True
44121908,23,12.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,11.0,5.0,3.0,3.0,True
44121908,25,12.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,11.0,5.0,3.0,3.0,True
44121908,26,12.0,4.0,3.0,3.0,4.0,4.0,,3.0,3.0,11.0,5.0,3.0,3.0,True
44121908,27,12.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,11.0,5.0,3.0,3.0,True
44121908,28,12.0,4.0,3.0,3.0,4.0,4.0,,3.0,3.0,11.0,5.0,3.0,3.0,True
44121908,29,12.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,11.0,5.0,3.0,3.0,True
44121910,1,11.0,3.0,3.0,3.0,9.0,5.0,3.0,4.0,4.0,11.0,5.0,3.0,4.0,True
44121910,2,11.0,3.0,3.0,3.0,9.0,5.0,3.0,4.0,4.0,11.0,5.0,3.0,4.0,True
44121910,3,11.0,3.0,3.0,3.0,9.0,5.0,3.0,4.0,4.0,11.0,5.0,3.0,4.0,True
44121910,4,11.0,3.0,3.0,3.0,9.0,5.0,3.0,4.0,4.0,11.0,5.0,3.0,4.0,True
44121910,5,11.0,3.0,3.0,3.0,9.0,5.0,3.0,4.0,4.0,11.0,5.0,3.0,4.0,True
44121910,7,11.0,3.0,3.0,3.0,9.0,5.0,3.0,4.0,4.0,11.0,5.0,3.0,4.0,True
44121910,8,11.0,3.0,3.0,3.0,9.0,5.0,,4.0,4.0,11.0,5.0,3.0,4.0,True
44121910,9,11.0,3.0,3.0,3.0,9.0,5.0,3.0,4.0,4.0,11.0,5.0,3.0,4.0,True
44121910,10,11.0,3.0,3.0,3.0,9.0,5.0,3.0,4.0,4.0,11.0,5.0,3.0,4.0,True
44121910,11,11.0,3.0,3.0,3.0,9.0,5.0,3.0,4.0,4.0,11.0,5.0,3.0,4.0,True
44121910,13,11.0,3.0,3.0,3.0,9.0,5.0,3.0,4.0,4.0,11.0,5.0,3.0,4.0,True
44121910,14,11.0,3.0,3.0,3.0,9.0,5.0,3.0,4.0,4.0,11.0,5.0,3.0,4.0,True
44121910,15,11.0,3.0,3.0,3.0,9.0,5.0,3.0,4.0,4.0,11.0,5.0,3.0,4.0,True
44121910,16,11.0,3.0,3.0,3.0,9.0,5.0,3.0,4.0,4.0,11.0,5.0,3.0,4.0,True
44121910,17,11.0,3.0,3.0,3.0,9.0,5.0,3.0,4.0,4.0,11.0,5.0,3.0,4.0,True
44121910,19,11.0,3.0,3.0,3.0,9.0,5.0,3.0,4.0,4.0,11.0,5.0,3.0,4.0,True
44121910,20,11.0,3.0,3.0,3.0,9.0,5.0,3.0,4.0,4.0,11.0,5.0,3.0,4.0,True
44121910,21,11.0,3.0,3.0,3.0,9.0,5.0,3.0,4.0,4.0,11.0,5.0,3.0,4.0,True
44121910,22,11.0,3.0,3.0,3.0,9.0,5.0,3.0,4.0,4.0,11.0,5.0,3.0,4.0,True
44121910,23,11.0,3.0,3.0,3.0,9.0,5.0,3.0,4.0,4.0,11.0,5.0,3.0,4.0,True
44121910,25,11.0,3.0,3.0,3.0,9.0,5.0,3.0,4.0,4.0,11.0,5.0,3.0,4.0,True
44121910,26,11.0,3.0,3.0,3.0,9.0,5.0,3.0,4.0,4.0,11.0,5.0,3.0,4.0,True
44121910,27,11.0,3.0,3.0,3.0,9.0,5.0,3.0,4.0,4.0,11.0,5.0,3.0,4.0,True
44121910,28,11.0,3.0,3.0,3.0,9.0,5.0,3.0,4.0,4.0,11.0,5.0,3.0,4.0,True
44121910,29,11.0,3.0,3.0,3.0,9.0,5.0,3.0,4.0,4.0,11.0,5.0,3.0,4.0,True
44121912,1,13.0,4.0,4.0,3.0,8.0,4.0,,3.0,3.0,9.0,4.0,3.0,3.0,True
44121912,2,13.0,4.0,4.0,3.0,8.0,4.0,3.0,3.0,3.0,9.0,4.0,3.0,3.0,True
44121912,3,13.0,4.0,4.0,3.0,8.0,4.0,3.0,3.0,3.0,9.0,4.0,3.0,3.0,True
44121912,4,13.0,4.0,4.0,3.0,8.0,4.0,3.0,3.0,3.0,9.0,4.0,3.0,3.0,True
44121912,5,13.0,4.0,4.0,3.0,8.0,4.0,3.0,3.0,3.0,9.0,4.0,3.0,3.0,True
44121912,7,13.0,4.0,4.0,3.0,8.0,4.0,3.0,3.0,3.0,9.0,4.0,3.0,3.0,True
